metroplex2nDr1nDe0,0.000000,4.627343
metroplex5nDr1nDe0,0.000000,4.584117
metroplex0nDr1nDe0,0.000000,4.983324
metroplex3nDr1nDe0,0.000000,4.964355
metroplex1nDr1nDe0,0.000000,5.390898
metroplex4nDr1nDe0,0.000000,5.841728
metroplex0nDr1nDe1,2.095238,6.710467
metroplex3nDr1nDe1,0.523810,6.921025
metroplex2nDr0nDe1,1.047619,7.839844
metroplex1nDr1nDe1,0.523810,8.708057
metroplex4nDr1nDe1,1.230576,9.053649
metroplex5nDr1nDe1,3.493438,9.527946
metroplex2nDr1nDe1,1.095238,11.186690
metroplex0nDr0nDe1,0.666667,11.638850
metroplex4nDr0nDe1,1.619048,11.593957
metroplex3nDr0nDe1,1.619048,13.311470
metroplex1nDr0nDe1,2.889724,35.977779
metroplex5nDr0nDe1,6.581454,37.126676
metroplex1nDr0nDe2,2.032581,67.479018
metroplex2nDr0nDe2,2.142857,127.797368
metroplex0nDr0nDe2,3.142857,158.844109
metroplex4nDr0nDe3,5.029779,321.415933
metroplex3nDr0nDe3,4.040100,331.637756
metroplex5nDr0nDe2,1.761905,352.676236
metroplex4nDr0nDe2,13.904762,374.369779
metroplex2nDr0nDe3,8.398496,447.191248
metroplex1nDr0nDe3,4.230576,468.269301
metroplex3nDr0nDe2,5.571429,728.403062
metroplex0nDr0nDe3,8.263158,844.012875
grid0nDr1nDe0,0.000000,3.753131
grid4nDr1nDe0,0.000000,3.742689
grid3nDr1nDe0,0.000000,3.847231
grid2nDr1nDe0,0.000000,4.138974
grid5nDr1nDe0,0.000000,4.258023
grid1nDr1nDe0,0.000000,4.664560
grid2nDr1nDe1,0.285714,5.936982
grid3nDr1nDe1,0.516291,7.330994
grid4nDr1nDe1,0.468672,7.370315
grid0nDr1nDe1,0.849624,7.868240
grid5nDr1nDe1,2.684211,8.668683
grid3nDr0nDe1,0.230576,10.698558
grid0nDr0nDe1,0.761905,10.879912
grid1nDr1nDe1,0.714286,11.749654
grid4nDr0nDe1,1.087719,17.374982
grid2nDr0nDe2,0.889724,17.560182
grid2nDr0nDe1,0.714286,21.478667
grid5nDr0nDe1,0.666667,21.953559
grid4nDr0nDe3,1.619048,26.231994
grid1nDr0nDe1,1.000000,28.642670
grid4nDr0nDe2,0.476185,28.796341
grid3nDr0nDe2,3.095238,29.526898
grid1nDr0nDe2,1.461153,32.001042
grid0nDr0nDe3,2.182957,44.210606
grid0nDr0nDe2,0.666667,44.372405
grid2nDr0nDe3,1.095238,46.222639
grid5nDr0nDe2,1.809524,65.221341
grid5nDr0nDe3,2.706767,70.655669
grid3nDr0nDe3,3.992481,107.446997
airport1nDr1nDe0,0.000000,1.295402
airport0nDr1nDe0,0.000000,1.394378
airport4nDr1nDe0,0.000000,1.286554
airport5nDr1nDe0,0.000000,1.327067
airport3nDr1nDe0,0.000000,1.326699
airport1nDr0nDe1,0.190476,1.573103
airport0nDr0nDe1,0.285714,1.753034
airport2nDr1nDe0,0.000000,1.661254
airport3nDr1nDe1,0.190476,1.579643
airport1nDr0nDe2,0.476190,1.728410
airport5nDr0nDe3,0.857143,1.540608
airport5nDr1nDe1,0.320476,1.620979
airport1nDr1nDe1,0.095238,1.797689
airport5nDr0nDe2,0.380952,1.645075
airport4nDr0nDe1,0.190476,1.743734
airport0nDr0nDe2,0.380952,1.905906
airport5nDr0nDe1,0.571429,1.566508
airport1nDr0nDe3,0.857143,2.004952
airport4nDr0nDe2,0.666667,1.826462
airport2nDr0nDe3,0.476190,2.025880
airport2nDr1nDe1,0.333333,2.064861
airport0nDr1nDe1,0.190476,2.216210
airport4nDr1nDe1,0.333333,2.070093
airport3nDr0nDe1,0.666667,2.217538
airport2nDr0nDe2,0.761905,2.408500
airport2nDr0nDe1,0.333333,2.475812
airport4nDr0nDe3,0.809524,2.684972
airport3nDr0nDe2,0.619047,2.813753
airport0nDr0nDe3,1.142857,3.397006
airport3nDr0nDe3,1.428571,3.240205
grid1nDr0nDe3,2.095238,337.789509
metroplex5nDr0nDe3,3.889724,5727.416539
#eliminati indicator constrins con singola variabile al suo interno

grid0nDr1nDe0,0.000000,3.612563
grid4nDr1nDe0,0.000000,3.493888
grid3nDr1nDe0,0.000000,3.797032
grid2nDr1nDe0,0.000000,4.104138
grid5nDr1nDe0,0.000000,4.059517
grid1nDr1nDe0,0.000000,4.693852
grid2nDr1nDe1,0.285714,5.371798
grid5nDr0nDe1,0.666667,5.334613
grid4nDr0nDe1,1.087719,5.368778
grid0nDr0nDe1,0.761905,5.719506
grid0nDr1nDe1,0.849624,5.580434
grid1nDr0nDe1,1.000000,5.750860
grid3nDr0nDe1,0.230576,5.641213
grid5nDr1nDe1,2.684211,5.893086
grid3nDr1nDe1,0.516291,6.068648
grid4nDr0nDe2,0.476190,6.255373
grid2nDr0nDe2,0.889724,6.548877
grid2nDr0nDe1,0.714286,7.350110
grid1nDr0nDe2,1.461153,8.298471
grid0nDr0nDe2,0.666667,9.653218
grid4nDr1nDe1,0.468672,9.850549
grid3nDr0nDe2,3.095238,10.086160
grid0nDr0nDe3,2.182957,10.737502
grid1nDr1nDe1,0.714286,11.642052
grid4nDr0nDe3,1.619048,12.146866
grid5nDr0nDe2,1.809524,12.541308
grid2nDr0nDe3,1.095238,13.612003
grid5nDr0nDe3,2.706767,13.866020
grid3nDr0nDe3,3.992481,20.150888
grid1nDr0nDe3,2.095238,22.516362
airport1nDr1nDe0,0.000000,1.166916
airport0nDr1nDe0,0.000000,1.278073
airport0nDr0nDe1,0.285714,1.301385
airport0nDr0nDe2,0.380952,1.392173
airport1nDr0nDe1,0.190476,1.347969
airport3nDr1nDe0,0.000000,1.240381
airport4nDr1nDe0,0.000000,1.263677
airport1nDr0nDe2,0.476190,1.418996
airport5nDr1nDe0,0.000000,1.253299
airport5nDr1nDe1,0.320476,1.251460
airport5nDr0nDe3,0.857143,1.289768
airport4nDr0nDe1,0.190476,1.331587
airport3nDr0nDe1,0.666667,1.439669
airport2nDr0nDe2,0.761905,1.524849
airport1nDr0nDe3,0.857143,1.599037
airport0nDr1nDe1,0.190476,1.605386
airport3nDr1nDe1,0.190476,1.464458
airport2nDr0nDe1,0.333333,1.614873
airport4nDr0nDe2,0.666667,1.494303
airport5nDr0nDe1,0.571429,1.485683
airport2nDr1nDe0,0.000000,1.564692
airport1nDr1nDe1,0.095238,1.650550
airport5nDr0nDe2,0.380952,1.583730
airport2nDr0nDe3,0.476190,1.833967
airport2nDr1nDe1,0.333333,1.904393
airport4nDr0nDe3,0.809524,1.924824
airport0nDr0nDe3,1.142857,2.129717
airport3nDr0nDe2,0.619048,2.171220
airport4nDr1nDe1,0.333333,2.137725
airport3nDr0nDe3,1.428571,2.239378
metroplex0nDr1nDe0,0.000000,4.811988
metroplex2nDr1nDe0,0.000000,4.819907
metroplex5nDr1nDe0,0.000000,4.916321
metroplex2nDr0nDe1,1.047619,5.474235
metroplex1nDr1nDe0,0.000000,5.496117
metroplex3nDr1nDe0,0.000000,5.373088
metroplex3nDr1nDe1,0.523810,5.882574
metroplex4nDr1nDe0,0.000000,6.285522
metroplex0nDr0nDe1,0.666667,6.714006
metroplex0nDr1nDe1,2.095238,7.378132
